Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"C1,C10",C_01005_0402Metric,2,1uF,
2,"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17,C18",C_01005_0402Metric,12,0.1uF,
3,"C15,C16",C_01005_0402Metric,2,33pF,
4,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
5,"R8,R9",R_0402_1005Metric,2,4.7K,
6,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
7,U3,IC_W25Q16JVUXIQ_TR,1,W25Q16JVZPIQ TR,
8,U4,AMS_TSL25911FN,1,TSL25911FN,
9,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
10,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
11,"R7,R5",R_0402_1005Metric,2,1K,
12,"C13,C14",C_0603_1608Metric,2,10uF,
13,"R3,R4",R_0402_1005Metric,2,27,
14,"R2,R1",R_0402_1005Metric,2,5.1K,
15,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
16,R6,R_0402_1005Metric,1,10K,
17,U2,SOT-23,1,MCP1700x-330xxTT,
18,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
